accident_index,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_(district),local_authority_(highway),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
201506E099988,1,9,0,9,0,8,0,0,0,0,1,1,2,2,40,7,1598,1,10,-1,1,-1,1,2,385390,391440,-2.221297,53.419555,6,2,2,1,15/04/2015,4,1899-12-30 08:45:00,102,E08000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01005175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506E099988,2,1,0,18,0,8,0,0,0,0,1,1,2,1,33,6,-1,-1,-1,-1,1,-1,1,2,385390,391440,-2.221297,53.419555,6,2,2,1,15/04/2015,4,1899-12-30 08:45:00,102,E08000003,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01005175,1,1,1,33,6,2,0,0,0,0,0,1,1,5
201506EM06421,1,9,0,18,0,8,0,0,0,0,1,1,2,2,65,9,998,1,8,-1,1,-1,1,2,379180,389930,-2.314636,53.405773,6,3,2,1,25/09/2015,6,1899-12-30 06:45:00,102,E08000003,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01005114,1,1,2,65,9,3,0,0,0,0,0,9,1,8
201506EM06421,2,9,0,7,0,6,0,0,0,0,3,1,2,2,27,6,1086,1,7,-1,1,-1,1,2,379180,389930,-2.314636,53.405773,6,3,2,1,25/09/2015,6,1899-12-30 06:45:00,102,E08000003,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01005114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506F000007,1,9,0,18,0,0,0,4,0,0,1,1,1,1,51,8,1997,2,2,-1,3,-1,2,3,382000,397870,-2.272675,53.477245,6,3,3,2,16/04/2015,5,1899-12-30 12:05:00,107,E08000006,3,57,3,40,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01005667,1,1,1,51,8,3,0,0,0,0,0,9,3,9
201506F000007,2,9,0,3,0,0,0,0,0,0,2,1,1,1,37,7,998,1,1,-1,1,-1,2,3,382000,397870,-2.272675,53.477245,6,3,3,2,16/04/2015,5,1899-12-30 12:05:00,107,E08000006,3,57,3,40,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01005667,2,1,1,37,7,3,0,0,0,0,0,9,1,7
201506F000007,3,9,0,3,0,0,0,0,0,0,3,1,1,1,35,6,1995,2,3,-1,1,-1,2,3,382000,397870,-2.272675,53.477245,6,3,3,2,16/04/2015,5,1899-12-30 12:05:00,107,E08000006,3,57,3,40,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01005667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506F000110,1,9,0,18,0,0,0,0,1,10,1,1,6,2,26,6,-1,-1,-1,-1,-1,-1,1,1,377330,400940,-2.34326,53.504657,6,3,1,1,18/04/2015,7,1899-12-30 22:47:00,107,E08000006,3,580,3,40,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01005694,1,2,2,31,6,3,0,0,1,0,0,9,1,2
201506F000171,1,9,0,18,0,2,0,0,0,0,1,1,6,1,40,7,1198,1,10,-1,1,-1,1,3,382100,398210,-2.271188,53.480304,6,3,3,1,21/04/2015,3,1899-12-30 10:15:00,107,E08000006,5,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01032907,1,1,1,40,7,3,0,0,0,0,0,9,1,4
201506F000171,2,9,0,18,0,2,0,0,0,0,2,1,1,2,40,7,1560,2,5,-1,1,-1,1,3,382100,398210,-2.271188,53.480304,6,3,3,1,21/04/2015,3,1899-12-30 10:15:00,107,E08000006,5,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01032907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506F000171,3,9,0,18,0,2,0,0,0,0,2,1,2,2,50,8,1598,1,4,-1,1,-1,1,3,382100,398210,-2.271188,53.480304,6,3,3,1,21/04/2015,3,1899-12-30 10:15:00,107,E08000006,5,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01032907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506F000182,1,9,0,18,0,8,0,0,0,0,1,1,6,1,31,6,2148,2,6,-1,1,-1,1,2,376770,399430,-2.351591,53.49106,6,3,2,1,20/04/2015,2,1899-12-30 10:30:00,107,E08000006,4,5229,9,30,9,4,6,0,0,0,1,1,1,0,0,1,1,E01005634,1,1,1,31,6,3,0,0,0,0,0,9,1,9
201506F000182,2,9,0,8,0,5,0,0,0,0,2,1,1,2,31,6,1461,2,1,-1,1,-1,1,2,376770,399430,-2.351591,53.49106,6,3,2,1,20/04/2015,2,1899-12-30 10:30:00,107,E08000006,4,5229,9,30,9,4,6,0,0,0,1,1,1,0,0,1,1,E01005634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506F000440,1,9,0,5,0,6,0,0,0,0,4,1,1,2,34,6,998,1,6,-1,1,-1,1,2,373820,402760,-2.396331,53.520852,6,3,2,1,22/04/2015,4,1899-12-30 20:40:00,107,E08000006,3,575,6,30,7,4,6,0,0,0,4,1,1,0,0,1,1,E01005712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201506F000440,2,3,0,16,0,8,0,0,0,0,3,1,6,1,17,4,125,1,5,-1,1,-1,1,2,373820,402760,-2.396331,53.520852,6,3,2,1,22/04/2015,4,1899-12-30 20:40:00,107,E08000006,3,575,6,30,7,4,6,0,0,0,4,1,1,0,0,1,1,E01005712,1,1,1,17,4,3,0,0,0,0,0,3,1,1
